City/Town,Ward,Pct,"Suzanne M. Bump","Helen Brady","Daniel Fishman","Edward J. Stamas","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican,Libertarian,Green-rainbow
Lawrence,B,2,392,62,15,8,1,31,509
Lawrence,B,3,419,86,20,12,2,41,580
Lawrence,B,4,586,58,29,17,3,109,802
Lawrence,C,1,365,57,19,12,0,40,493
Lawrence,C,2,563,132,39,16,1,38,789
Lawrence,C,3,394,34,10,7,0,32,477
Lawrence,C,4,492,46,27,10,2,53,630
Lawrence,D,1,481,110,25,14,1,48,679
Lawrence,D,2,452,59,7,9,1,40,568
Lawrence,D,3,340,49,25,16,0,43,473
Lawrence,D,4,344,44,22,5,0,41,456
Lawrence,E,1,663,339,37,15,0,55,"1,109"
Lawrence,E,2,603,291,47,24,4,48,"1,017"
Lawrence,E,3,397,122,27,10,0,28,584
Lawrence,E,4,467,110,28,7,1,58,671
Lawrence,F,1,540,214,37,24,1,50,866
Lawrence,F,2,388,52,29,10,0,43,522
Lawrence,F,3,406,71,22,15,0,25,539
Lawrence,F,4,400,86,19,14,0,24,543
Lee,-,1,"1,689",540,87,82,0,185,"2,583"
Leicester,-,1,575,518,47,25,1,68,"1,234"
Leicester,-,2,599,455,41,21,1,49,"1,166"
Leicester,-,3,525,500,37,20,1,50,"1,133"
Leicester,-,4,548,469,47,23,0,77,"1,164"
Lenox,-,1,"1,965",409,66,85,1,211,"2,737"
Leominster,1,A,638,545,47,27,0,88,"1,345"
Leominster,1,B,615,484,41,27,1,73,"1,241"
Leominster,1,C,502,322,35,21,0,50,930
Leominster,2,A,393,185,28,15,0,25,646
Leominster,2,B,479,353,47,25,1,40,945
Leominster,2,C,278,183,24,9,0,25,519
Leominster,3,A,444,312,30,13,0,36,835
Leominster,3,B,635,514,33,24,1,62,"1,269"
Leominster,3,C,675,564,44,23,0,69,"1,375"
Leominster,4,A,641,546,44,22,2,97,"1,352"
Leominster,4,B,578,563,46,23,1,89,"1,300"
Leominster,4,C,438,318,29,14,0,51,850
Leominster,5,A,501,303,32,28,0,46,910
Leominster,5,B,611,454,43,19,0,100,"1,227"
Leominster,5,C,441,272,27,26,0,35,801
Leverett,-,1,887,115,19,79,0,48,"1,148"
Lexington,-,1,"1,062",311,76,39,0,113,"1,601"
Lexington,-,2,"1,393",310,115,57,0,134,"2,009"
