City/Town,Ward,Pct,"William Francis Galvin","Rayla Campbell","Juan G. Sanchez, Jr","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican,Green-Rainbow
Springfield,7,C,600,240,37,2,18,897
Springfield,7,D,432,219,36,0,16,703
Springfield,7,E,273,86,26,0,13,398
Springfield,7,F,634,235,41,1,38,949
Springfield,7,G,614,307,35,2,19,977
Springfield,7,H,246,100,15,0,18,379
Springfield,7,H1,44,26,2,0,1,73
Springfield,8,A,322,183,25,1,8,539
Springfield,8,B,332,111,32,0,8,483
Springfield,8,B1,27,17,1,0,1,46
Springfield,8,C,342,95,38,0,14,489
Springfield,8,D,170,70,21,1,3,265
Springfield,8,E,176,70,25,2,7,280
Springfield,8,F,288,114,39,1,10,452
Springfield,8,G,317,141,28,0,10,496
Springfield,8,G1,8,4,2,0,0,14
Springfield,8,H,326,101,25,0,17,469
Sterling,-,1,"1,130",859,33,1,28,"2,051"
Sterling,-,2,"1,192",851,54,1,32,"2,130"
Stockbridge,,,831,175,42,0,21,"1,069"
Stoneham,-,1,899,385,23,1,22,"1,330"
Stoneham,-,2,985,397,22,1,31,"1,436"
Stoneham,-,3,"1,033",525,38,1,34,"1,631"
Stoneham,-,4,885,481,24,3,24,"1,417"
Stoneham,-,5,980,550,19,0,35,"1,584"
Stoneham,-,6,"1,119",511,41,0,39,"1,710"
Stoneham,-,7,881,435,23,0,26,"1,365"
Stoughton,-,1,830,369,28,0,28,"1,255"
Stoughton,-,2,758,341,33,2,27,"1,161"
Stoughton,-,2A,118,40,2,0,2,162
Stoughton,-,3,951,384,23,0,18,"1,376"
Stoughton,-,4,"1,019",531,20,0,28,"1,598"
Stoughton,-,4A,72,26,1,0,4,103
Stoughton,-,5,743,374,22,0,12,"1,151"
Stoughton,-,5A,55,36,2,0,3,96
Stoughton,-,6,996,379,27,0,22,"1,424"
Stoughton,-,7,872,321,36,0,8,"1,237"
Stoughton,-,7A,51,9,0,0,0,60
Stoughton,-,8,584,225,12,1,15,837
Stoughton,-,8A,35,24,0,0,0,59
Stow,-,1,"1,404",517,50,0,13,"1,984"
Stow,-,2,"1,408",413,67,0,22,"1,910"
Sturbridge,-,1,845,537,34,0,15,"1,431"
Sturbridge,-,2,850,619,29,0,19,"1,517"
