City/Town,Ward,Pct,"Tara Decristofaro","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Stoneham,-,1,"1,265",20,666,"1,951"
Stoneham,-,2,"1,538",26,700,"2,264"
Stoneham,-,3,"1,386",30,854,"2,270"
Stoneham,-,4,"1,148",27,672,"1,847"
Stoneham,-,5,"1,282",28,764,"2,074"
Stoneham,-,6,"1,307",26,751,"2,084"
Stoneham,-,7,"1,208",19,719,"1,946"
Stow,-,1,"1,645",18,894,"2,557"
Stow,-,2,"1,550",10,880,"2,440"
Sudbury,-,1,"1,149",17,674,"1,840"
Sudbury,-,1A,432,5,235,672
Sudbury,-,2,"1,480",12,817,"2,309"
Sudbury,-,3,"1,676",31,"1,075","2,782"
Sudbury,-,4,"1,607",22,942,"2,571"
Sudbury,-,5,"1,459",25,829,"2,313"
Tewksbury,-,1,"1,272",43,853,"2,168"
Tewksbury,-,1A,"1,453",42,948,"2,443"
Tewksbury,-,2,"1,306",45,871,"2,222"
Tewksbury,-,2A,"1,242",45,828,"2,115"
Tewksbury,-,3,"1,532",59,"1,029","2,620"
Tewksbury,-,3A,"1,630",55,"1,059","2,744"
Tewksbury,-,4,"1,491",33,997,"2,521"
Tewksbury,-,4A,"1,489",36,885,"2,410"
Townsend,-,1,"1,040",18,755,"1,813"
Townsend,-,2,"1,039",29,733,"1,801"
Townsend,-,3,"1,147",20,714,"1,881"
Tyngsborough,-,1,"1,060",0,706,"1,766"
Tyngsborough,-,2,"1,166",0,717,"1,883"
Tyngsborough,-,3,"1,245",0,730,"1,975"
Tyngsborough,-,4,"1,218",0,762,"1,980"
Wakefield,-,1,"1,557",30,991,"2,578"
Wakefield,-,2,"1,373",18,812,"2,203"
Wakefield,-,3,"1,477",29,873,"2,379"
Wakefield,-,4,"1,402",22,810,"2,234"
Wakefield,-,5,"1,532",34,892,"2,458"
Wakefield,-,6,"1,614",26,881,"2,521"
Wakefield,-,7,"1,395",22,919,"2,336"
Waltham,1,1,"1,208",26,849,"2,083"
Waltham,1,2,"1,212",31,967,"2,210"
Waltham,2,1,"1,277",27,784,"2,088"
Waltham,2,2,"1,090",10,474,"1,574"
Waltham,3,1,"1,223",9,955,"2,187"
Waltham,3,2,"1,243",18,769,"2,030"
Waltham,4,1,"1,284",25,803,"2,112"
Waltham,4,2,303,5,183,491
Waltham,5,1,"1,141",19,660,"1,820"
Waltham,5,2,"1,123",13,523,"1,659"
Waltham,6,1,"1,061",16,539,"1,616"
Waltham,6,2,659,5,345,"1,009"
Waltham,7,1,"1,082",9,721,"1,812"
Waltham,7,2,406,3,215,624
Waltham,8,1,"1,109",16,440,"1,565"
Waltham,8,2,"1,093",13,530,"1,636"
Waltham,9,1,957,18,369,"1,344"
Waltham,9,2,837,18,360,"1,215"
Watertown,-,1,853,15,442,"1,310"
Watertown,-,2,"1,008",11,439,"1,458"
Watertown,-,3,"1,125",17,469,"1,611"
Watertown,-,4,"1,131",5,609,"1,745"
Watertown,-,5,"1,303",16,510,"1,829"
Watertown,-,6,"1,049",14,443,"1,506"
Watertown,-,7,"1,145",23,602,"1,770"
Watertown,-,8,"1,139",17,549,"1,705"
Watertown,-,9,863,10,461,"1,334"
Watertown,-,10,"1,423",30,676,"2,129"
Watertown,-,11,957,13,518,"1,488"
Watertown,-,12,955,13,465,"1,433"
Wayland,-,1,"1,606",23,735,"2,364"
Wayland,-,2,"1,516",22,758,"2,296"
Wayland,-,3,"1,440",25,677,"2,142"
Wayland,-,4,"1,684",6,898,"2,588"
Westford,-,1,"1,675",27,945,"2,647"
Westford,-,2,"1,795",35,845,"2,675"
Westford,-,3,"1,681",35,803,"2,519"
Westford,-,4,"1,856",31,792,"2,679"
Westford,-,5,"1,640",15,823,"2,478"
Westford,-,6,"1,572",40,773,"2,385"
Weston,-,1,"1,126",16,759,"1,901"
Weston,-,2,"1,020",24,673,"1,717"
Weston,-,3,"1,013",14,667,"1,694"
Weston,-,4,"1,092",22,714,"1,828"
Wilmington,-,1,"1,553",13,861,"2,427"
Wilmington,-,2,"1,438",14,898,"2,350"
Wilmington,-,3,"1,493",30,919,"2,442"
Wilmington,-,4,"1,552",23,975,"2,550"
Wilmington,-,5,"1,573",8,996,"2,577"
Wilmington,-,6,"1,574",22,974,"2,570"
Winchester,-,1,"1,211",13,564,"1,788"
Winchester,-,2,"1,034",23,514,"1,571"
Winchester,-,3,"1,238",12,651,"1,901"
Winchester,-,4,"1,140",14,737,"1,891"
Winchester,-,5,"1,065",21,735,"1,821"
Winchester,-,6,"1,114",9,668,"1,791"
Winchester,-,7,"1,118",17,699,"1,834"
Winchester,-,8,894,15,466,"1,375"
Woburn,1,1,854,6,474,"1,334"
Woburn,1,2,"1,012",8,589,"1,609"
Woburn,2,1,950,7,578,"1,535"
Woburn,2,2,846,2,358,"1,206"
Woburn,3,1,930,5,593,"1,528"
Woburn,3,2,"1,132",3,765,"1,900"
Woburn,4,1,"1,091",9,718,"1,818"
Woburn,4,2,902,7,539,"1,448"
Woburn,5,1,"1,304",6,585,"1,895"
Woburn,5,2,"1,066",3,733,"1,802"
Woburn,6,1,747,3,361,"1,111"
Woburn,6,2,"1,055",2,648,"1,705"
Woburn,7,1,"1,065",8,839,"1,912"
Woburn,7,2,"1,011",7,790,"1,808"
TOTALS,,,"570,452","6,913","291,982","869,347"
