City/Town,Ward,Pct,"Marian T. Ryan","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Winchester,-,5,883,25,418,"1,326"
Winchester,-,6,884,17,449,"1,350"
Winchester,-,7,943,21,444,"1,408"
Winchester,-,8,654,13,284,951
Woburn,1,1,587,4,328,919
Woburn,1,2,651,13,345,"1,009"
Woburn,1,2A,58,0,18,76
Woburn,2,1,752,13,415,"1,180"
Woburn,2,2,662,3,242,907
Woburn,3,1,760,10,359,"1,129"
Woburn,3,2,897,10,559,"1,466"
Woburn,4,1,779,5,472,"1,256"
Woburn,4,2,681,7,360,"1,048"
Woburn,5,1,732,4,277,"1,013"
Woburn,5,2,690,9,358,"1,057"
Woburn,6,1,482,6,225,713
Woburn,6,2,708,8,433,"1,149"
Woburn,7,1,799,3,642,"1,444"
Woburn,7,2,899,4,562,"1,465"
TOTALS,,,"451,484","6,994","153,747","612,225"
