City/Town,Ward,Pct,"Deborah B. Goldberg","Keiko M. Orrall","Jamie M. Guerin","All Others",Blanks,"Total Votes Cast"
Malden,8,2,777,233,29,0,52,"1,091"
Manchester-by-the-Sea,-,1,"1,975",913,72,2,214,"3,176"
Mansfield,-,1,"1,033",696,36,0,93,"1,858"
Mansfield,-,2,"1,114",635,45,0,106,"1,900"
Mansfield,-,3,"1,232",681,49,0,117,"2,079"
Mansfield,-,4,"1,061",589,36,0,98,"1,784"
Mansfield,-,5,"1,055",463,57,0,88,"1,663"
Mansfield,-,6,"1,058",448,53,1,73,"1,633"
Marblehead,-,1,"1,308",548,54,0,102,"2,012"
Marblehead,-,2,"1,375",478,47,0,105,"2,005"
Marblehead,-,3,"1,193",451,47,0,89,"1,780"
Marblehead,-,4,"1,277",557,33,0,96,"1,963"
Marblehead,-,5,"1,303",495,35,1,82,"1,916"
Marblehead,-,6,"1,262",538,34,0,111,"1,945"
Marion,-,1,"1,585","1,032",70,2,123,"2,812"
Marlborough,1,1,629,228,21,0,55,933
Marlborough,1,2,904,469,36,0,82,"1,491"
Marlborough,2,1,716,344,37,0,51,"1,148"
Marlborough,2,2,622,245,30,0,37,934
Marlborough,3,1,465,188,48,0,31,732
Marlborough,3,2,959,436,46,1,66,"1,508"
Marlborough,4,1,395,161,24,0,30,610
Marlborough,4,2,824,378,46,0,62,"1,310"
Marlborough,5,1,462,159,29,1,23,674
Marlborough,5,2,707,309,41,1,49,"1,107"
Marlborough,6,1,538,207,20,1,37,803
Marlborough,6,2,802,428,44,1,75,"1,350"
Marlborough,7,1,610,255,44,1,41,951
Marlborough,7,2,615,297,22,0,41,975
Marshfield,-,1,"1,096",693,41,0,83,"1,913"
Marshfield,-,2,"1,123",728,41,0,109,"2,001"
Marshfield,-,3,"1,099",658,38,0,80,"1,875"
Marshfield,-,4,993,679,44,0,87,"1,803"
Marshfield,-,5,926,603,46,0,93,"1,668"
Marshfield,-,6,"1,184",812,38,0,133,"2,167"
Marshfield,-,7,"1,074",795,42,0,94,"2,005"
Mashpee,-,1,"1,134",644,30,0,81,"1,889"
Mashpee,-,2,788,568,37,0,60,"1,453"
Mashpee,-,3,683,465,36,1,35,"1,220"
Mashpee,-,4,824,457,40,1,62,"1,384"
Mashpee,-,5,953,762,40,0,97,"1,852"
Mattapoisett,-,1,"1,985","1,600",69,1,142,"3,797"
Maynard,-,1,958,344,51,2,57,"1,412"
Maynard,-,2,936,291,56,0,61,"1,344"
Maynard,-,3,971,320,64,0,54,"1,409"
Maynard,-,4,873,322,53,0,62,"1,310"
Medfield,-,1,"1,063",489,40,1,101,"1,694"
Medfield,-,2,"1,007",520,24,0,79,"1,630"
Medfield,-,3,"1,007",573,23,0,81,"1,684"
Medfield,-,4,954,556,38,0,104,"1,652"
Medford,1,1,"1,073",271,56,0,81,"1,481"
Medford,1,2,"1,102",304,64,3,87,"1,560"
Medford,2,1,"1,086",377,53,3,93,"1,612"
Medford,2,2,"1,232",440,65,2,91,"1,830"
Medford,3,1,"1,243",377,56,2,143,"1,821"
Medford,3,2,"1,289",489,53,0,127,"1,958"
Medford,4,1,780,115,51,1,30,977
Medford,4,2,"1,375",277,68,1,96,"1,817"
Medford,5,1,"1,336",229,69,2,69,"1,705"
Medford,5,2,"1,038",147,49,0,50,"1,284"
Medford,6,1,"1,586",237,103,2,105,"2,033"
Medford,6,2,"1,290",315,55,2,98,"1,760"
Medford,7,1,757,154,30,0,43,984
Medford,7,2,"1,099",265,40,0,81,"1,485"
Medford,8,1,"1,269",334,77,2,98,"1,780"
Medford,8,2,"1,103",278,62,1,60,"1,504"
Medway,-,1,848,558,30,0,71,"1,507"
Medway,-,2,942,535,53,1,71,"1,602"
Medway,-,3,975,547,45,1,76,"1,644"
Medway,-,4,983,565,52,0,71,"1,671"
Melrose,1,1,749,246,43,0,70,"1,108"
Melrose,1,2,749,218,37,0,58,"1,062"
Melrose,2,1,761,297,30,0,88,"1,176"
Melrose,2,2,709,233,17,1,62,"1,022"
Melrose,3,1,746,186,44,3,53,"1,032"
Melrose,3,2,666,215,25,1,61,968
Melrose,4,1,649,230,29,1,61,970
Melrose,4,2,710,369,23,0,84,"1,186"
Melrose,5,1,782,216,41,1,43,"1,083"
Melrose,5,2,676,212,25,0,49,962
Melrose,6,1,654,200,40,1,40,935
Melrose,6,2,707,287,23,0,83,"1,100"
Melrose,7,1,687,231,29,0,58,"1,005"
Melrose,7,2,716,282,34,1,55,"1,088"
Mendon,-,1,"1,510","1,198",64,0,161,"2,933"
Merrimac,-,1,983,554,67,1,108,"1,713"
Merrimac,-,2,949,634,52,0,80,"1,715"
Methuen,-,1,902,462,54,2,60,"1,480"
Methuen,-,2,567,104,15,1,29,716
Methuen,-,3,818,462,42,3,47,"1,372"
Methuen,-,4,855,430,49,2,62,"1,398"
Methuen,-,5,749,329,39,2,55,"1,174"
Methuen,-,6,890,421,39,2,54,"1,406"
Methuen,-,7,893,559,50,1,87,"1,590"
Methuen,-,8,"1,035",835,47,2,127,"2,046"
Methuen,-,9,865,667,40,3,93,"1,668"
Methuen,-,10,921,429,42,1,54,"1,447"
Methuen,-,11,"1,019",741,46,0,115,"1,921"
Methuen,-,12,809,669,50,2,69,"1,599"
Middleborough,-,1,"1,021","1,276",31,2,87,"2,417"
Middleborough,-,2,645,793,38,0,44,"1,520"
Middleborough,-,3,694,"1,035",28,0,60,"1,817"
Middleborough,-,4,546,710,29,1,28,"1,314"
Middleborough,-,5,628,"1,132",23,0,71,"1,854"
Middleborough,-,6,566,881,28,0,52,"1,527"
Middlefield,-,1,158,71,14,0,18,261
Middleton,-,1,"1,056",891,41,0,116,"2,104"
Middleton,-,2,"1,059",965,42,0,137,"2,203"
Milford,-,1,495,236,33,1,56,821
Milford,-,2,751,379,44,1,81,"1,256"
Milford,-,3,716,461,25,2,71,"1,275"
Milford,-,4,588,265,42,0,62,957
Milford,-,5,"1,032",602,29,0,129,"1,792"
Milford,-,6,831,395,28,0,75,"1,329"
Milford,-,7,966,580,46,0,105,"1,697"
Milford,-,8,891,421,38,2,121,"1,473"
Millbury,-,1,782,502,46,0,71,"1,401"
Millbury,-,2,918,661,55,0,107,"1,741"
Millbury,-,3,740,534,39,0,89,"1,402"
Millbury,-,4,761,475,62,0,62,"1,360"
Millis,-,1,874,453,34,0,56,"1,417"
Millis,-,2,851,486,45,1,76,"1,459"
Millis,-,3,882,496,32,0,61,"1,471"
Millville,-,1,647,558,47,0,45,"1,297"
Milton,-,1,"1,189",134,40,0,61,"1,424"
Milton,-,2,"1,179",200,47,1,82,"1,509"
Milton,-,3,"1,054",351,38,2,135,"1,580"
Milton,-,4,"1,068",211,57,0,99,"1,435"
Milton,-,5,808,263,35,0,99,"1,205"
Milton,-,6,993,390,38,0,122,"1,543"
Milton,-,7,914,317,28,1,119,"1,379"
Milton,-,8,959,374,44,2,119,"1,498"
Milton,-,9,872,476,15,1,138,"1,502"
Milton,-,10,816,119,23,0,54,"1,012"
Monroe,-,1,31,13,2,0,2,48
Monson,-,A,613,495,51,0,57,"1,216"
Monson,-,B,612,507,70,1,68,"1,258"
Monson,-,C,681,493,62,0,70,"1,306"
Montague,-,1,657,105,87,0,33,882
Montague,-,2,415,134,53,0,18,620
Montague,-,3,415,130,23,0,21,589
Montague,-,4,449,135,37,0,32,653
Montague,-,5,316,49,56,0,12,433
Montague,-,6,360,108,45,0,26,539
Monterey,-,1,350,71,33,0,15,469
Montgomery,-,1,205,217,17,0,17,456
"Mount Washington",-,1,67,19,5,0,6,97
Nahant,-,1,"1,352",561,61,2,125,"2,101"
Nantucket,-,1,"2,803","1,149",114,2,137,"4,205"
Natick,-,1,793,196,31,0,44,"1,064"
Natick,-,2,"1,309",400,49,0,83,"1,841"
Natick,-,3,"1,243",407,47,0,109,"1,806"
Natick,-,4,"1,165",349,52,0,66,"1,632"
Natick,-,5,"1,173",418,63,0,109,"1,763"
Natick,-,6,"1,173",380,36,0,98,"1,687"
Natick,-,7,"1,338",348,42,1,96,"1,825"
Natick,-,8,"1,249",411,58,0,106,"1,824"
Natick,-,9,"1,236",373,48,2,96,"1,755"
Natick,-,10,"1,466",484,58,1,143,"2,152"
Needham,-,A,983,313,30,1,70,"1,397"
Needham,-,B,"1,197",383,21,1,84,"1,686"
Needham,-,C,"1,140",377,23,1,74,"1,615"
Needham,-,D,"1,175",329,27,0,66,"1,597"
Needham,-,E,"1,231",374,33,0,85,"1,723"
Needham,-,F,"1,186",293,42,1,91,"1,613"
Needham,-,G,"1,174",374,43,1,114,"1,706"
Needham,-,H,"1,175",397,33,2,96,"1,703"
Needham,-,I,"1,262",315,38,0,105,"1,720"
Needham,-,J,"1,220",327,45,1,92,"1,685"
"New Ashford",-,1,78,41,6,0,0,125
"New Bedford",1,A,561,262,22,0,142,987
"New Bedford",1,B,510,301,12,0,41,864
"New Bedford",1,C,492,327,20,0,35,874
"New Bedford",1,D,527,357,19,1,53,957
"New Bedford",1,E,519,254,19,0,31,823
"New Bedford",1,F,528,370,16,0,44,958
"New Bedford",2,A,135,43,7,0,2,187
"New Bedford",2,B,316,127,13,0,17,473
"New Bedford",2,C,243,103,17,0,16,379
"New Bedford",2,D,322,187,16,0,32,557
"New Bedford",2,E,460,240,27,0,31,758
"New Bedford",2,F,417,197,12,0,37,663
"New Bedford",3,A,243,65,7,0,15,330
"New Bedford",3,B,267,93,12,0,12,384
"New Bedford",3,C,273,86,19,1,19,398
"New Bedford",3,D,361,142,16,0,28,547
"New Bedford",3,E,581,263,24,3,27,898
"New Bedford",3,F,553,235,23,0,31,842
"New Bedford",4,A,320,35,14,0,32,401
"New Bedford",4,B,539,135,23,0,33,730
"New Bedford",4,C,550,113,33,1,38,735
"New Bedford",4,D,449,119,24,1,17,610
"New Bedford",4,E,387,167,20,2,21,597
"New Bedford",4,F,457,110,14,1,19,601
"New Bedford",5,A,334,109,15,0,20,478
"New Bedford",5,B,588,166,32,2,36,824
"New Bedford",5,C,428,205,24,1,41,699
"New Bedford",5,D,653,216,46,1,37,953
"New Bedford",5,E,714,328,31,0,51,"1,124"
"New Bedford",5,F,717,307,28,0,46,"1,098"
"New Bedford",6,A,477,274,16,0,49,816
"New Bedford",6,B,453,208,19,0,41,721
"New Bedford",6,C,205,65,16,0,15,301
"New Bedford",6,D,167,53,7,0,19,246
"New Bedford",6,E,254,101,13,1,33,402
"New Bedford",6,F,376,107,16,0,27,526
"New Braintree",-,1,270,210,23,0,21,524
"New Marlborough",-,1,528,191,30,0,30,779
"New Salem",-,1,333,149,36,0,17,535
Newbury,-,1,"1,248",646,66,1,102,"2,063"
Newbury,-,2,"1,199",723,43,2,114,"2,081"
Newburyport,1,1,944,301,46,0,73,"1,364"
Newburyport,2,1,"1,303",292,65,0,71,"1,731"
Newburyport,3,1,"1,172",362,54,0,95,"1,683"
Newburyport,4,1,"1,348",448,39,0,102,"1,937"
Newburyport,5,1,921,434,43,0,120,"1,518"
Newburyport,6,1,"1,001",483,43,0,98,"1,625"
Newburyport,1,P,268,132,21,0,18,439
Newton,1,1,771,251,37,1,76,"1,136"
Newton,1,2,"1,056",152,57,3,49,"1,317"
Newton,1,3,"1,050",139,47,1,56,"1,293"
Newton,1,4,855,260,36,3,107,"1,261"
Newton,2,1,"1,022",216,53,3,64,"1,358"
Newton,2,2,742,132,30,1,49,954
Newton,2,3,"1,218",188,39,1,82,"1,528"
Newton,2,4,"1,207",182,39,1,84,"1,513"
Newton,3,1,"1,077",211,49,5,78,"1,420"
Newton,3,2,"1,152",186,33,0,79,"1,450"
Newton,3,3,998,282,31,1,92,"1,404"
Newton,3,4,"1,000",237,31,1,79,"1,348"
Newton,4,1,944,235,34,1,66,"1,280"
Newton,4,2,"1,000",152,28,2,83,"1,265"
Newton,4,3,691,135,17,0,62,905
Newton,4,4,882,222,44,1,81,"1,230"
Newton,5,1,966,233,29,0,66,"1,294"
Newton,5,2,"1,108",154,32,0,81,"1,375"
Newton,5,3,"1,330",184,35,0,94,"1,643"
Newton,5,4,"1,281",193,27,1,83,"1,585"
Newton,6,1,952,214,14,0,76,"1,256"
Newton,6,2,"1,145",165,52,1,72,"1,435"
Newton,6,3,"1,263",143,47,4,88,"1,545"
Newton,6,4,"1,259",170,63,0,90,"1,582"
Newton,7,1,873,226,37,0,62,"1,198"
Newton,7,2,"1,303",186,27,2,79,"1,597"
Newton,7,3,341,67,7,2,11,428
Newton,7,4,519,105,16,0,38,678
Newton,8,1,"1,142",321,32,0,81,"1,576"
Newton,8,2,995,291,29,0,62,"1,377"
Newton,8,3,"1,082",263,34,1,92,"1,472"
Newton,8,4,645,180,21,0,51,897
Norfolk,-,1,602,477,15,0,49,"1,143"
Norfolk,-,2,"1,246",835,43,1,126,"2,251"
Norfolk,-,3,"1,032",739,34,1,115,"1,921"
"N. Adams",1,1,664,196,49,0,55,964
"N. Adams",2,2,576,146,48,1,37,808
"N. Adams",3,3,516,98,55,0,31,700
"N. Adams",4,4,698,218,44,0,53,"1,013"
"N. Adams",5,5,606,139,61,0,58,864
"N. Andover",-,1,942,425,49,0,75,"1,491"
"N. Andover",-,2,"1,057",526,57,0,91,"1,731"
"N. Andover",-,3,940,482,32,0,88,"1,542"
"N. Andover",-,4,"1,152",662,37,0,95,"1,946"
"N. Andover",-,5,757,368,21,0,55,"1,201"
"N. Andover",-,6,979,754,44,0,97,"1,874"
"N. Andover",-,7,"1,034",590,35,0,83,"1,742"
"N. Andover",-,8,988,740,40,0,93,"1,861"
"N. Attleborough",-,1,663,328,33,0,28,"1,052"
"N. Attleborough",-,2,757,489,50,0,79,"1,375"
"N. Attleborough",-,3,723,638,42,0,82,"1,485"
"N. Attleborough",-,4,615,326,42,1,46,"1,030"
"N. Attleborough",-,5,685,412,37,0,44,"1,178"
"N. Attleborough",-,6,842,522,32,0,73,"1,469"
"N. Attleborough",-,7,890,598,38,0,94,"1,620"
"N. Attleborough",-,8,812,554,29,0,72,"1,467"
"N. Attleborough",-,9,774,478,31,0,72,"1,355"
"N. Brookfield",-,1,967,931,89,0,75,"2,062"
"N. Reading",-,1,"1,036",725,36,1,123,"1,921"
"N. Reading",-,2,958,600,41,0,107,"1,706"
"N. Reading",-,3,"1,045",706,38,2,111,"1,902"
"N. Reading",-,4,"1,114",713,43,0,114,"1,984"
Northampton,1,A,644,73,103,0,28,848
Northampton,1,B,987,113,129,1,48,"1,278"
Northampton,2,A,978,53,116,0,40,"1,187"
Northampton,2,B,585,29,73,0,29,716
Northampton,3,A,932,67,173,0,43,"1,215"
Northampton,3,B,843,76,157,1,42,"1,119"
Northampton,4,A,667,39,117,0,30,853
Northampton,4,B,828,58,145,1,39,"1,071"
Northampton,5,A,741,102,115,0,36,994
Northampton,5,B,881,71,123,0,40,"1,115"
Northampton,6,A,780,174,88,0,48,"1,090"
Northampton,6,B,978,161,85,0,52,"1,276"
Northampton,7,A,945,122,112,0,45,"1,224"
Northampton,7,B,918,165,111,0,59,"1,253"
Northborough,-,1,"1,226",594,52,3,75,"1,950"
Northborough,-,2,"1,156",573,55,1,82,"1,867"
Northborough,-,3,"1,223",604,52,2,67,"1,948"
Northborough,-,4,"1,173",659,58,0,97,"1,987"
Northbridge,-,1,886,647,63,2,99,"1,697"
Northbridge,-,2,900,681,39,0,98,"1,718"
Northbridge,-,3,740,615,49,0,79,"1,483"
Northbridge,-,4,"1,037",927,51,0,136,"2,151"
Northfield,-,1,963,387,96,0,62,"1,508"
Norton,-,1,951,662,40,0,75,"1,728"
Norton,-,2,878,691,45,1,85,"1,700"
Norton,-,3,914,563,44,0,77,"1,598"
Norton,-,4,"1,007",675,38,2,98,"1,820"
Norton,-,5,553,390,30,2,52,"1,027"
Norwell,-,1,"1,062",700,31,2,110,"1,905"
Norwell,-,2,"1,079",818,41,1,116,"2,055"
Norwell,-,3,"1,086",771,40,1,85,"1,983"
Norwood,-,1,"1,080",430,43,0,88,"1,641"
Norwood,-,2,985,357,21,1,94,"1,458"
Norwood,-,3,"1,012",387,50,1,88,"1,538"
Norwood,-,4,"1,055",484,42,1,136,"1,718"
Norwood,-,5,810,251,26,0,68,"1,155"
Norwood,-,6,691,310,26,1,52,"1,080"
Norwood,-,7,850,381,29,1,75,"1,336"
Norwood,-,8,"1,064",435,43,0,65,"1,607"
Norwood,-,9,"1,006",503,15,2,96,"1,622"
"Oak Bluffs",-,1,"1,820",524,97,0,129,"2,570"
Oakham,-,1,426,458,43,0,36,963
Orange,-,1,664,514,97,0,54,"1,329"
Orange,-,2,733,460,90,0,53,"1,336"
Orleans,-,1,"2,516","1,323",104,0,162,"4,105"
Otis,-,1,412,249,35,0,41,737
Oxford,-,1,731,564,54,2,66,"1,417"
Oxford,-,2,678,564,48,0,44,"1,334"
Oxford,-,3,757,587,49,1,68,"1,462"
Oxford,-,4,625,552,63,0,62,"1,302"
Palmer,-,1,554,464,76,1,51,"1,146"
Palmer,-,1A,82,59,7,0,7,155
Palmer,-,2,638,525,65,0,63,"1,291"
Palmer,-,3,604,320,58,1,34,"1,017"
Palmer,-,4,570,416,58,0,60,"1,104"
Paxton,-,1,"1,305",851,72,0,80,"2,308"
Peabody,1,1,820,361,36,4,75,"1,296"
Peabody,1,2,839,496,34,0,94,"1,463"
Peabody,1,3,925,490,33,3,109,"1,560"
Peabody,2,1,604,176,27,1,35,843
Peabody,2,2,579,207,23,1,29,839
Peabody,2,3,679,344,37,0,57,"1,117"
Peabody,3,1,446,149,20,2,43,660
Peabody,3,2,650,248,24,0,52,974
Peabody,3,3,749,331,41,1,56,"1,178"
Peabody,4,1,759,364,33,0,86,"1,242"
Peabody,4,2,726,386,15,1,47,"1,175"
Peabody,4,3,468,238,7,0,42,755
Peabody,4,3A,852,347,13,2,62,"1,276"
Peabody,5,1,809,520,32,1,87,"1,449"
Peabody,5,2,617,398,27,0,58,"1,100"
Peabody,5,3,775,448,29,0,77,"1,329"
Peabody,6,1,783,626,34,2,80,"1,525"
Peabody,6,2,758,536,32,0,95,"1,421"
Peabody,6,3,784,568,25,0,84,"1,461"
Pelham,-,1,641,74,58,0,29,802
Pembroke,-,1,"1,025",725,33,1,105,"1,889"
Pembroke,-,2,898,648,40,6,81,"1,673"
Pembroke,-,3,960,685,48,1,78,"1,772"
Pembroke,-,4,979,695,50,0,78,"1,802"
Pembroke,-,5,929,662,28,0,77,"1,696"
Pepperell,-,1,901,701,49,1,84,"1,736"
Pepperell,-,2,"1,011",777,50,5,90,"1,933"
Pepperell,-,3,989,720,60,0,81,"1,850"
Peru,-,1,248,135,13,0,35,431
Petersham,-,1,424,236,43,0,31,734
Phillipston,-,1,424,351,34,0,35,844
Pittsfield,1,A,610,194,47,0,49,900
Pittsfield,1,B,874,221,50,0,79,"1,224"
Pittsfield,2,A,443,72,33,0,21,569
Pittsfield,2,B,920,228,50,2,84,"1,284"
Pittsfield,3,A,"1,061",217,69,0,107,"1,454"
Pittsfield,3,B,"1,072",257,62,0,150,"1,541"
Pittsfield,4,A,"1,043",286,67,0,103,"1,499"
Pittsfield,4,B,"1,186",376,73,2,146,"1,783"
Pittsfield,5,A,834,175,71,1,70,"1,151"
Pittsfield,5,B,887,235,59,1,89,"1,271"
Pittsfield,6,A,918,211,58,0,96,"1,283"
Pittsfield,6,B,572,146,50,0,62,830
Pittsfield,7,A,526,125,36,0,31,718
Pittsfield,7,B,933,230,63,1,90,"1,317"
Plainfield,-,1,257,80,29,0,12,378
Plainville,-,1,799,547,31,1,76,"1,454"
Plainville,-,2,774,507,26,1,70,"1,378"
Plainville,-,3,719,513,34,0,54,"1,320"
Plymouth,-,1,831,448,39,0,68,"1,386"
Plymouth,-,2,"1,135",642,50,0,79,"1,906"
Plymouth,-,3,869,446,45,1,66,"1,427"
Plymouth,-,4,966,548,42,0,72,"1,628"
Plymouth,-,5,"1,022",788,56,0,88,"1,954"
Plymouth,-,6,"1,100",653,48,1,96,"1,898"
Plymouth,-,7,978,680,43,0,66,"1,767"
Plymouth,-,8,"1,010",844,44,0,76,"1,974"
Plymouth,-,9,778,615,36,0,53,"1,482"
Plymouth,-,10,680,460,21,1,62,"1,224"
Plymouth,-,11,"1,074",839,39,2,84,"2,038"
Plymouth,-,12,"1,002",792,41,0,77,"1,912"
Plymouth,-,13,"1,014",690,38,0,82,"1,824"
Plymouth,-,14,872,877,47,2,60,"1,858"
Plymouth,-,15,"2,217","1,441",53,1,147,"3,859"
Plympton,-,1,762,657,42,0,80,"1,541"
Princeton,-,1,"1,111",749,91,1,108,"2,060"
Provincetown,-,1,"1,886",143,58,0,53,"2,140"
Quincy,1,1,688,276,56,0,66,"1,086"
Quincy,1,2,523,172,32,0,101,828
Quincy,1,3,872,224,61,2,48,"1,207"
Quincy,1,4,919,464,55,2,118,"1,558"
Quincy,1,5,"1,022",431,58,3,117,"1,631"
Quincy,2,1,702,287,49,4,63,"1,105"
Quincy,2,2,667,208,34,3,40,952
Quincy,2,3,305,97,19,1,28,450
Quincy,2,3A,166,69,12,0,24,271
Quincy,2,4,635,194,31,0,45,905
Quincy,2,5,805,265,49,4,69,"1,192"
Quincy,3,1,975,314,49,1,82,"1,421"
Quincy,3,2,791,228,60,1,72,"1,152"
Quincy,3,3,519,157,24,1,38,739
Quincy,3,4,851,334,44,2,90,"1,321"
Quincy,3,5,510,134,38,0,45,727
Quincy,4,1,809,246,30,3,59,"1,147"
Quincy,4,2,922,317,59,2,77,"1,377"
Quincy,4,3,893,364,47,2,100,"1,406"
Quincy,4,4,663,157,53,1,36,910
Quincy,4,5,684,256,62,2,44,"1,048"
Quincy,5,1,750,212,67,2,44,"1,075"
Quincy,5,2,727,203,46,1,58,"1,035"
Quincy,5,3,887,270,58,3,84,"1,302"
Quincy,5,4,825,295,55,0,54,"1,229"
Quincy,5,5,719,251,45,0,66,"1,081"
Quincy,6,1,666,222,43,0,55,986
Quincy,6,2,537,161,24,1,41,764
Quincy,6,3,992,374,52,1,66,"1,485"
Quincy,6,4,645,182,46,1,59,933
Quincy,6,5,"1,100",486,67,3,120,"1,776"
Randolph,-,1,803,162,26,2,57,"1,050"
Randolph,-,2,696,107,15,1,39,858
Randolph,-,3,793,135,23,1,54,"1,006"
Randolph,-,4,846,154,30,0,51,"1,081"
Randolph,-,5,679,160,27,2,53,921
Randolph,-,6,694,150,22,2,38,906
Randolph,-,7,780,139,19,0,44,982
Randolph,-,8,866,114,21,2,43,"1,046"
Randolph,-,9,812,120,14,1,37,984
Randolph,-,10,809,166,18,0,39,"1,032"
Randolph,-,11,763,221,28,1,56,"1,069"
Randolph,-,12,846,199,24,2,53,"1,124"
Raynham,-,1,708,576,32,0,79,"1,395"
Raynham,-,1A,91,69,1,0,22,183
Raynham,-,2,614,571,20,0,79,"1,284"
Raynham,-,2A,111,142,1,0,14,268
Raynham,-,3,775,767,26,0,101,"1,669"
Raynham,-,4,695,621,23,1,78,"1,418"
Reading,-,1,"1,087",592,42,2,140,"1,863"
Reading,-,2,988,450,33,1,90,"1,562"
Reading,-,3,"1,233",586,35,1,149,"2,004"
Reading,-,4,"1,057",467,39,1,123,"1,687"
Reading,-,5,"1,053",393,37,0,103,"1,586"
Reading,-,6,849,405,21,3,104,"1,382"
Reading,-,7,"1,070",503,40,1,136,"1,750"
Reading,-,8,906,523,39,0,142,"1,610"
Rehoboth,-,1,833,784,40,0,83,"1,740"
Rehoboth,-,2,805,793,39,0,68,"1,705"
Rehoboth,-,3,862,834,59,0,73,"1,828"
Revere,1,1,579,160,31,1,86,857
Revere,1,2,530,166,27,0,47,770
Revere,1,3,491,136,18,0,73,718
Revere,2,1,407,112,23,0,24,566
Revere,2,2,482,112,27,1,33,655
Revere,2,3,201,30,16,0,10,257
Revere,2,3A,77,19,4,0,11,111
Revere,3,1,496,180,18,3,73,770
Revere,3,2,479,160,22,0,68,729
Revere,3,3,467,157,24,0,61,709
Revere,4,1,500,194,25,0,78,797
Revere,4,2,420,200,22,0,64,706
Revere,4,3,546,241,21,1,72,881
Revere,5,1,453,206,21,2,62,744
Revere,5,1A,370,128,12,1,44,555
Revere,5,2,266,123,11,1,29,430
Revere,5,2A,208,51,10,0,32,301
Revere,5,3,532,203,20,0,57,812
Revere,6,1,534,331,22,0,97,984
Revere,6,2,551,340,27,2,109,"1,029"
Revere,6,3,439,155,18,0,48,660
Richmond,-,1,634,158,33,0,44,869
Rochester,-,1,"1,201","1,447",58,0,114,"2,820"
Rockland,-,1,804,476,39,1,81,"1,401"
Rockland,-,2,856,502,42,0,91,"1,491"
Rockland,-,3,592,326,31,1,58,"1,008"
Rockland,-,4,730,398,25,1,57,"1,211"
Rockland,-,5,616,375,37,1,70,"1,099"
Rockland,-,6,807,503,44,0,96,"1,450"
Rockport,-,1,694,283,31,1,61,"1,070"
Rockport,-,2,"1,050",340,51,2,52,"1,495"
Rockport,-,3,"1,222",420,60,0,93,"1,795"
Rowe,-,1,108,69,9,0,10,196
Rowley,-,1,"1,722","1,319",76,0,154,"3,271"
Royalston,-,1,193,112,18,0,8,331
Royalston,-,2,128,84,8,0,13,233
Russell,-,1,318,306,40,1,29,694
Rutland,-,1,694,580,49,0,61,"1,384"
Rutland,-,2,738,567,42,2,72,"1,421"
Rutland,-,3,706,511,52,2,48,"1,319"
Salem,1,1,"1,164",321,85,1,85,"1,656"
Salem,1,2,593,47,27,0,39,706
Salem,2,1,"1,215",235,54,1,57,"1,562"
Salem,2,2,"1,335",219,85,0,89,"1,728"
Salem,3,1,847,211,46,0,74,"1,178"
Salem,3,2,854,300,23,1,41,"1,219"
Salem,4,1,891,314,40,1,65,"1,311"
Salem,4,2,906,389,28,1,61,"1,385"
Salem,5,1,"1,023",249,56,0,66,"1,394"
Salem,5,2,938,155,44,0,35,"1,172"
Salem,6,1,"1,036",298,76,1,82,"1,493"
Salem,6,2,994,251,50,2,59,"1,356"
Salem,7,1,"1,082",255,60,1,76,"1,474"
Salem,7,2,937,303,22,2,63,"1,327"
Salisbury,-,1,871,494,45,1,57,"1,468"
Salisbury,-,2,745,481,53,1,57,"1,337"
Salisbury,-,3,572,514,42,1,58,"1,187"
Sandisfield,-,1,234,120,9,0,11,374
Sandwich,-,1,"1,176",753,54,0,99,"2,082"
Sandwich,-,2,"1,125",792,47,0,89,"2,053"
Sandwich,-,3,928,714,50,0,72,"1,764"
Sandwich,-,4,954,761,44,0,69,"1,828"
Sandwich,-,5,876,663,48,0,88,"1,675"
Sandwich,-,6,745,745,51,2,86,"1,629"
Saugus,-,1,620,352,29,0,75,"1,076"
Saugus,-,2,598,361,15,0,63,"1,037"
Saugus,-,3,625,384,35,0,89,"1,133"
Saugus,-,4,543,376,13,0,62,994
Saugus,-,5,692,517,24,0,84,"1,317"
Saugus,-,6,622,391,29,0,73,"1,115"
Saugus,-,7,601,537,28,0,92,"1,258"
Saugus,-,8,636,421,26,0,90,"1,173"
Saugus,-,9,651,494,20,0,100,"1,265"
Saugus,-,10,573,351,23,0,58,"1,005"
Savoy,-,1,160,85,13,0,45,303
Scituate,-,1,"1,058",614,62,0,100,"1,834"
Scituate,-,2,"1,029",651,32,1,96,"1,809"
Scituate,-,3,"1,084",548,50,1,70,"1,753"
Scituate,-,4,"1,043",641,41,0,114,"1,839"
Scituate,-,5,"1,051",517,46,0,102,"1,716"
Scituate,-,6,"1,026",539,43,2,99,"1,709"
Seekonk,-,1,734,556,32,2,66,"1,390"
Seekonk,-,2,959,671,38,0,80,"1,748"
Seekonk,-,3,895,561,30,0,53,"1,539"
Seekonk,-,4,771,567,32,0,60,"1,430"
Sharon,-,1,"1,345",333,63,4,88,"1,833"
Sharon,-,2,"1,230",351,30,0,74,"1,685"
Sharon,-,3,"1,354",388,44,0,80,"1,866"
Sharon,-,4,"1,304",351,46,0,81,"1,782"
Sharon,-,5,"1,147",356,41,1,82,"1,627"
