City/Town,Ward,Pct,"Marian T. Ryan","Donna Patalano","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Democratic
Hudson,-,2,810,0,15,222,"1,047"
Hudson,-,3,"1,020",0,3,356,"1,379"
Hudson,-,4,"1,032",0,6,427,"1,465"
Hudson,-,5,"1,334",0,5,370,"1,709"
Hudson,-,6,735,0,15,225,975
Hudson,-,7,797,0,3,216,"1,016"
Lexington,-,1,"1,225",0,0,376,"1,601"
Lexington,-,2,"1,584",0,3,422,"2,009"
Lexington,-,3,"1,193",0,1,303,"1,497"
Lexington,-,4,"1,474",0,3,441,"1,918"
Lexington,-,5,"1,428",0,1,465,"1,894"
Lexington,-,6,"1,364",0,5,417,"1,786"
Lexington,-,7,"1,395",0,5,445,"1,845"
Lexington,-,8,"1,319",0,2,442,"1,763"
Lexington,-,9,"1,357",0,2,422,"1,781"
Lincoln,-,1,"1,753",0,14,437,"2,204"
Lincoln,-,2,"1,048",0,15,289,"1,352"
Littleton,-,1,"1,400",0,0,498,"1,898"
Littleton,-,2,"1,279",0,0,472,"1,751"
Littleton,-,3,"1,227",0,0,396,"1,623"
Lowell,1,1,478,0,0,147,625
Lowell,1,2,"1,309",0,0,518,"1,827"
Lowell,1,3,"1,134",0,0,381,"1,515"
Lowell,2,1,386,0,0,69,455
Lowell,2,2,490,0,0,150,640
Lowell,2,3,"1,056",0,0,239,"1,295"
Lowell,3,1,552,0,0,180,732
Lowell,3,2,422,0,0,155,577
Lowell,3,3,439,0,0,144,583
Lowell,4,1,588,0,0,279,867
Lowell,4,2,396,0,0,127,523
Lowell,4,3,415,0,0,140,555
Lowell,5,1,612,0,0,202,814
Lowell,5,2,463,0,0,121,584
Lowell,5,3,640,0,0,204,844
Lowell,6,1,760,0,0,282,"1,042"
Lowell,6,2,881,0,0,283,"1,164"
Lowell,6,3,725,0,0,232,957
Lowell,7,1,444,0,0,126,570
Lowell,7,2,502,0,0,136,638
Lowell,7,3,283,0,0,118,401
Lowell,8,1,566,0,0,174,740
Lowell,8,2,538,0,0,221,759
Lowell,8,3,981,0,0,373,"1,354"
Lowell,9,1,543,0,0,160,703
Lowell,9,2,754,0,0,269,"1,023"
Lowell,9,3,598,0,0,195,793
Lowell,10,1,559,0,0,202,761
Lowell,10,2,361,0,0,117,478
Lowell,10,3,315,0,0,71,386
Lowell,11,1,698,0,0,162,860
Lowell,11,2,717,0,0,269,986
Lowell,11,3,741,0,0,232,973
Malden,1,1,717,0,17,110,844
Malden,1,2,899,0,25,217,"1,141"
Malden,2,1,782,0,9,146,937
Malden,2,2,851,0,21,215,"1,087"
Malden,3,1,"1,068",0,23,242,"1,333"
Malden,3,2,"1,182",0,17,322,"1,521"
Malden,4,1,744,0,13,154,911
Malden,4,2,632,0,18,130,780
Malden,5,1,886,0,18,164,"1,068"
Malden,5,2,"1,179",0,15,370,"1,564"
Malden,6,1,"1,003",0,26,248,"1,277"
Malden,6,2,921,0,22,231,"1,174"
Malden,7,1,760,0,16,121,897
Malden,7,2,788,0,30,152,970
Malden,8,1,931,0,32,214,"1,177"
Malden,8,2,877,0,14,200,"1,091"
Marlborough,1,1,696,0,5,232,933
Marlborough,1,2,"1,055",0,9,427,"1,491"
Marlborough,2,1,842,0,2,304,"1,148"
Marlborough,2,2,726,0,1,207,934
Marlborough,3,1,552,0,3,177,732
Marlborough,3,2,"1,159",0,10,339,"1,508"
Marlborough,4,1,458,0,3,149,610
Marlborough,4,2,997,0,3,310,"1,310"
Marlborough,5,1,532,0,2,140,674
